date,search
2020-06-20,11.17936
2020-06-21,11.17936
2020-06-22,10.07371
2020-06-23,9.3366
2020-06-24,8.3538
2020-06-25,9.0909
2020-06-26,13.51351
2020-06-27,14.74201
2020-06-28,14.86486
2020-06-29,7.6167
2020-06-30,11.91646
2020-07-01,11.30221
2020-07-02,12.89926
2020-07-03,15.23341
2020-07-04,17.56756
2020-07-05,15.35626
2020-07-06,12.16216
2020-07-07,10.44226
2020-07-08,10.56511
2020-07-09,13.88206
2020-07-10,12.89926
2020-07-11,14.37346
2020-07-12,14.86486
2020-07-13,11.05651
2020-07-14,14.00491
2020-07-15,14.98771
2020-07-16,21.49877
2020-07-17,14.61916
2020-07-18,18.79606
2020-07-19,12.65356
2020-07-20,13.39066
2020-07-21,18.91891
2020-07-22,16.83046
2020-07-23,15.35626
2020-07-24,15.47911
2020-07-25,23.46437
2020-07-26,24.57002
2020-07-27,14.25061
2020-07-28,16.33906
2020-07-29,11.67076
2020-07-30,14.61916
2020-07-31,20.02457
2020-08-01,19.28746
2020-08-02,11.91646
2020-08-03,13.14496
2020-08-04,16.46191
2020-08-05,15.97051
2020-08-06,17.56756
2020-08-07,18.67321
2020-08-08,19.41031
2020-08-09,16.33906
2020-08-10,12.89926
2020-08-11,19.04176
2020-08-12,16.46191
2020-08-13,19.16461
2020-08-14,19.77886
2020-08-15,28.62407
2020-08-16,19.53316
2020-08-17,18.42751
2020-08-18,11.79361
2020-08-19,11.17936
2020-08-20,10.19656
2020-08-21,7.6167
2020-08-22,11.79361
2020-08-23,14.37346
2020-08-24,6.51105
2020-08-25,7.24815
2020-08-26,6.3882
2020-08-27,7.1253
2020-08-28,8.72235
2020-08-29,8.5995
2020-08-30,9.95085
2020-08-31,5.6511
2020-09-01,6.01965
2020-09-02,4.6683
2020-09-03,6.6339
2020-09-04,8.72235
2020-09-05,10.56511
2020-09-06,8.1081
2020-09-07,5.03685
2020-09-08,6.51105
2020-09-09,7.1253
2020-09-10,6.01965
2020-09-11,10.31941
2020-09-12,8.5995
2020-09-13,11.05651
2020-09-14,7.371
2020-09-15,10.56511
2020-09-16,11.42506
2020-09-17,14.25061
2020-09-18,12.03931
2020-09-19,18.55036
2020-09-20,16.95331
2020-09-21,10.93366
2020-09-22,12.28501
2020-09-23,12.28501
2020-09-24,11.54791
2020-09-25,14.49631
2020-09-26,19.28746
2020-09-27,17.93611
2020-09-28,10.56511
2020-09-29,14.37346
2020-09-30,12.53071
2020-10-01,11.67076
2020-10-02,12.89926
2020-10-03,16.33906
2020-10-04,14.98771
2020-10-05,10.68796
2020-10-06,11.42506
2020-10-07,11.54791
2020-10-08,18.30466
2020-10-09,28.74692
2020-10-10,24.57002
2020-10-11,15.23341
2020-10-12,9.5823
2020-10-13,14.98771
2020-10-14,12.16216
2020-10-15,13.88206
2020-10-16,17.19901
2020-10-17,24.07862
2020-10-18,17.32186
2020-10-19,12.65356
2020-10-20,14.86486
2020-10-21,17.93611
2020-10-22,15.47911
2020-10-23,19.16461
2020-10-24,28.13267
2020-10-25,22.72727
2020-10-26,15.97051
2020-10-27,18.67321
2020-10-28,19.53316
2020-10-29,17.32186
2020-10-30,17.93611
2020-10-31,29.85257
2020-11-01,14.12776
2020-11-02,16.33906
2020-11-03,12.65356
2020-11-04,14.74201
2020-11-05,10.56511
2020-11-06,18.67321
2020-11-07,24.81572
2020-11-08,24.69287
2020-11-09,16.09336
2020-11-10,11.17936
2020-11-11,14.86486
2020-11-12,17.56756
2020-11-13,18.67321
2020-11-14,22.48157
2020-11-15,17.69041
2020-11-16,14.98771
2020-11-17,10.68796
2020-11-18,11.79361
2020-11-19,10.81081
2020-11-20,16.83046
2020-11-21,18.05896
2020-11-22,14.37346
2020-11-23,9.95085
2020-11-24,7.6167
2020-11-25,8.3538
2020-11-26,7.6167
2020-11-27,8.47665
2020-11-28,9.0909
2020-11-29,8.96805
2020-11-30,5.28255
2020-12-01,7.73955
2020-12-02,5.52825
2020-12-03,5.28255
2020-12-04,6.51105
2020-12-05,6.75675
2020-12-06,7.98525
2020-12-07,5.52825
2020-12-08,7.6167
2020-12-09,7.1253
2020-12-10,4.4226
2020-12-11,5.6511
2020-12-12,7.98525
2020-12-13,3.80835
2020-12-14,4.1769
2020-12-15,3.1941
2020-12-16,4.4226
2020-12-17,2.33415
2020-12-18,7.49385
2020-12-19,5.1597
2020-12-20,4.1769
2020-12-21,2.9484
2020-12-22,6.51105
2020-12-23,3.07125
2020-12-24,7.24815
2020-12-25,5.28255
2020-12-26,5.1597
2020-12-27,5.6511
2020-12-28,7.371
2020-12-29,5.8968
2020-12-30,5.03685
2020-12-31,4.1769
2021-01-01,5.1597
2021-01-02,5.8968
2021-01-03,6.26535
2021-01-04,4.79115
2021-01-05,5.03685
2021-01-06,3.4398
